Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2015,3,San Juan,51409,6210,57619
2015,3,San Luis,12902,3170,16072
2015,3,Santa Cruz,25912,3590,29502
2015,3,Santa Fe,556097,6410,562507
2015,3,Santiago Del Estero,39394,30,39424
2015,3,Tierra Del Fuego,33118,6190,39308
2015,3,Tucumán,144272,420,144692
2015,2,Buenos Aires,2871079,12711,2883790
2015,2,Capital Federal,1336391,9893,1346284
2015,2,Catamarca,25666,130,25796
2015,2,Chaco,83832,160,83992
2015,2,Chubut,61745,174,61919
2015,2,Córdoba,609510,2360,611870
2015,2,Corrientes,83288,280,83568
2015,2,Entre Ríos,169309,1830,171139
2015,2,Formosa,27013,370,27383
2015,2,Jujuy,37720,20,37740
2015,2,La Pampa,63552,5000,68552
2015,2,La Rioja,16491,180,16671
2015,2,Mendoza,169259,1564,170823
2015,2,Misiones,88512,70,88582
2015,2,Neuquén,95644,2241,97885
2015,2,Río Negro,97640,1087,98727
2015,2,Salta,98264,30,98294
2015,2,San Juan,51367,6210,57577
2015,2,San Luis,12904,3170,16074
2015,2,Santa Cruz,25384,3790,29174
2015,2,Santa Fe,545739,6490,552229
2015,2,Santiago Del Estero,39375,30,39405
2015,2,Tierra Del Fuego,32960,6190,39150
2015,2,Tucumán,140635,420,141055
2015,1,Buenos Aires,2847076,14766,2861842
2015,1,Capital Federal,1321139,11582,1332721
2015,1,Catamarca,25312,200,25512
2015,1,Chaco,81329,310,81639
2015,1,Chubut,63327,1946,65273
2015,1,Córdoba,596663,2940,599603
2015,1,Corrientes,81488,430,81918
2015,1,Entre Ríos,165839,2310,168149
2015,1,Formosa,26657,430,27087
2015,1,Jujuy,36608,30,36638
2015,1,La Pampa,62155,5420,67575
2015,1,La Rioja,16310,230,16540
2015,1,Mendoza,168355,1805,170160
2015,1,Misiones,85139,70,85209
2015,1,Neuquén,93373,2369,95742
2015,1,Río Negro,96145,1188,97333
2015,1,Salta,96793,180,96973
2015,1,San Juan,51117,7020,58137
2015,1,San Luis,12878,3540,16418
2015,1,Santa Cruz,26217,4240,30457
2015,1,Santa Fe,535640,7970,543610
2015,1,Santiago Del Estero,39244,80,39324
2015,1,Tierra Del Fuego,32726,7300,40026
2015,1,Tucumán,138184,920,139104
2014,4,Buenos Aires,2801178,15229,2816407
2014,4,Capital Federal,1318526,11994,1330520
2014,4,Catamarca,25472,210,25682
2014,4,Chaco,65998,370,66368
2014,4,Chubut,66557,1985,68542
2014,4,Córdoba,590113,3190,593303
2014,4,Corrientes,65656,540,66196
2014,4,Entre Ríos,140567,2460,143027
2014,4,Formosa,26156,510,26666
2014,4,Jujuy,35999,30,36029
2014,4,La Pampa,56813,5670,62483
2014,4,La Rioja,16379,230,16609
2014,4,Mendoza,167766,1848,169614
2014,4,Misiones,77222,70,77292
2014,4,Neuquén,92999,2397,95396
2014,4,Río Negro,95050,121,95171
2014,4,Salta,93921,260,94181
2014,4,San Juan,51390,7290,58680
2014,4,San Luis,12788,3590,16378
2014,4,Santa Cruz,25277,4360,29637
2014,4,Santa Fe,528459,9380,537839
2014,4,Santiago Del Estero,39308,90,39398
2014,4,Tierra Del Fuego,28249,7410,35659
2014,4,Tucumán,137329,950,138279
2014,3,Buenos Aires,2835537,14028,2849565
2014,3,Capital Federal,1307195,1063,1308258
2014,3,Catamarca,24665,210,24875
2014,3,Chaco,63710,360,64070
2014,3,Chubut,67130,2007,69137
2014,3,Córdoba,585231,2000,587231
2014,3,Corrientes,63516,330,63846
2014,3,Entre Ríos,136618,1150,137768
2014,3,Formosa,25873,640,26513
2014,3,Jujuy,33739,20,33759
2014,3,La Pampa,61861,5640,67501
2014,3,La Rioja,15893,230,16123
2014,3,Mendoza,166184,174,166358
2014,3,Misiones,75327,0,75327
2014,3,Neuquén,100099,2268,102367
2014,3,Río Negro,96629,1151,97780
2014,3,Salta,92929,250,93179
2014,3,San Juan,51031,7480,58511
2014,3,San Luis,12683,3630,16313
2014,3,Santa Cruz,25664,4460,30124
2014,3,Santa Fe,520196,6910,527106
2014,3,Santiago Del Estero,37539,90,37629
2014,3,Tierra Del Fuego,28037,7550,35587
2014,3,Tucumán,131978,880,132858
2014,2,Buenos Aires,2750430,14116,2764546
2014,2,Capital Federal,1299502,10713,1310215
2014,2,Catamarca,24660,230,24890
2014,2,Chaco,63243,360,63603
2014,2,Chubut,68503,2016,70519
2014,2,Córdoba,576747,2050,578797
2014,2,Corrientes,62925,330,63255
2014,2,Entre Ríos,135468,1150,136618
2014,2,Formosa,25535,650,26185
2014,2,Jujuy,34359,20,34379
2014,2,La Pampa,55048,5800,60848
2014,2,La Rioja,15889,230,16119
2014,2,Mendoza,165046,1761,166807
2014,2,Misiones,74689,0,74689
2014,2,Neuquén,90053,2235,92288
2014,2,Río Negro,94812,1145,95957
2014,2,Salta,91949,250,92199
2014,2,San Juan,50891,7550,58441
2014,2,San Luis,12691,3640,16331
2014,2,Santa Cruz,26710,4590,31300
2014,2,Santa Fe,511753,6050,517803
2014,2,Santiago Del Estero,38002,90,38092
2014,2,Tierra Del Fuego,27443,7660,35103
2014,2,Tucumán,131981,880,132861
2014,1,Buenos Aires,2725732,14144,2739876
2014,1,Capital Federal,1289204,10714,1299918
2014,1,Catamarca,24209,230,24439
2014,1,Chaco,62520,360,62880
2014,1,Chubut,68205,2016,70221
2014,1,Córdoba,566705,2050,568755
2014,1,Corrientes,62203,330,62533
2014,1,Entre Ríos,134216,1150,135366
2014,1,Formosa,25335,870,26205
2014,1,Jujuy,33825,20,33845
2014,1,La Pampa,53601,5920,59521
2014,1,La Rioja,15688,230,15918
2014,1,Mendoza,164084,1761,165845
2014,1,Misiones,73950,0,73950
2014,1,Neuquén,88077,2303,90380
2014,1,Río Negro,93909,1157,95066
2014,1,Salta,91265,250,91515
2014,1,San Juan,50543,7550,58093
2014,1,San Luis,12193,3640,15833
2014,1,Santa Cruz,26304,4600,30904
2014,1,Santa Fe,506000,6120,512120
2014,1,Santiago Del Estero,37124,90,37214
2014,1,Tierra Del Fuego,27272,7660,34932
2014,1,Tucumán,129944,880,130824
